case_id,structure,article,status,date_opened,date_closed,investigator,suspect,evidence_count
e274937a-218d-4bbc-aaee-61bbf1e1fe1d,Прокуратура,263,Ожидание экспертизы,2024-08-11,,Опер #164,Гр. Сидоренко 534,4
a115adda-a026-4332-a237-7f257f4f5eec,СБУ,263,Ожидание экспертизы,2020-12-21,,Опер #134,Гр. Гончар 635,4
dddf8e04-393c-4ddf-9843-279700b5eb8b,СБУ,307,В работе,2020-10-10,,Опер #40,Гр. Мельник 798,13
03a90533-4b01-4f58-b020-9e14783e66ad,НПУ,263,Ожидание экспертизы,2020-10-20,2021-04-19,Опер #91,Гр. Коваленко 506,1
90687529-2954-4180-bd40-0a2c28a8768a,СБУ,307,В работе,2023-04-21,2023-06-05,Опер #20,Гр. Мельник 804,4
88337c6f-688f-476f-8b87-a78cbb27a139,Прокуратура,115,В работе,2020-07-06,,Опер #152,Гр. Коваленко 120,14
d36d0c0c-09f7-49eb-b972-3ca1685903c1,Прокуратура,296,Ожидание экспертизы,2020-12-25,2021-10-16,Опер #10,Гр. Петров 268,12
4cfe2b91-ee9e-4515-b49c-0b59d0df0b86,Прокуратура,307,В работе,2021-03-19,2021-10-13,Опер #73,Гр. Коваленко 103,4
c32b0f6f-0e22-4dc4-96d9-6c3a29c727ed,НПУ,309,На розыске,2024-09-01,,Опер #163,Гр. Иванов 244,1
45a5d9d6-9efc-49e3-b870-bfa13fbc4d54,НПУ,289,На розыске,2022-03-12,,Опер #84,Гр. Коваленко 282,9
ef0d6cfb-427c-464c-9c8e-3888b6593ecc,СБУ,307,В работе,2023-06-18,,Опер #40,Гр. Гончар 495,7
5e9120dc-1d4c-4395-9680-aa78c58ce004,Прокуратура,296,Закрыто,2025-07-22,,Опер #180,Гр. Гончар 148,0
c74e326b-379a-43a5-9a3d-db258652273c,Прокуратура,185,На розыске,2020-08-15,2021-06-13,Опер #165,Гр. Петров 350,5
ecda3b77-3a4a-45b4-b3f7-202ef42814e8,НПУ,187,Ожидание экспертизы,2021-04-29,2021-09-25,Опер #198,Гр. Мельник 276,1
9ce236c6-6b6c-4612-8ffe-51143338a644,Прокуратура,263,Закрыто,2024-05-17,,Опер #124,Гр. Иванов 971,0
b5f77b48-31ef-434f-8d11-67259e0c9633,Прокуратура,296,Передано в суд,2024-03-12,2024-09-17,Опер #154,Гр. Петров 230,11
ba8c7671-0eff-4b9d-b16d-e902a2037f5b,СБУ,187,В работе,2023-10-24,,Опер #195,Гр. Гончар 428,8
cef2cefc-bbf1-41bf-9066-1c4691dbc689,НПУ,307,В работе,2024-05-30,,Опер #128,Гр. Коваленко 820,0
aea4bac9-204b-43e1-86d5-a3266c83d2c3,НПУ,121,Передано в суд,2020-08-08,,Опер #157,Гр. Гончар 393,15
d82dd1f8-37b4-4d4f-9d1b-3a01ecf35f7f,Прокуратура,194,Передано в суд,2025-03-15,2026-03-14,Опер #143,Гр. Петров 388,14
101e6e0b-e107-4a2c-b81d-f77697eec801,НПУ,307,Передано в суд,2021-10-06,,Опер #103,Гр. Сидоренко 264,9
2a154b33-1584-484a-abd0-b0b20599a9fd,СБУ,296,Передано в суд,2025-09-08,,Опер #192,Гр. Сидоренко 834,7
577d57e8-da33-41fc-8660-ce8d050e86a0,СБУ,263,В работе,2024-12-08,2026-01-03,Опер #56,Гр. Иванов 587,4
7e2e2456-2a92-406e-b7aa-413e6e2f54c5,НПУ,296,Передано в суд,2025-01-06,2025-08-29,Опер #87,Гр. Коваленко 774,7
2d4090f9-8bc3-41aa-8909-eb13c61ec191,Прокуратура,263,Ожидание экспертизы,2022-08-25,2022-10-20,Опер #62,Гр. Гончар 189,8
79c476bb-72fe-4c4e-ad3d-4b33cc874e0f,НПУ,296,Ожидание экспертизы,2021-07-18,,Опер #81,Гр. Коваленко 700,7
45751d5c-6e73-4c45-9f96-69d438cf2a3b,НПУ,263,Закрыто,2025-11-09,2026-06-29,Опер #24,Гр. Коваленко 741,6
88555301-4894-493e-8862-ca6a4adb478b,НПУ,289,Передано в суд,2021-02-23,2021-07-06,Опер #178,Гр. Мельник 292,2
d762b0a1-553e-4fa2-ba69-8a14ba0851de,СБУ,187,На розыске,2022-06-12,,Опер #64,Гр. Коваленко 446,3
86065bbc-7535-41ea-92d4-4c3886d452df,СБУ,121,Закрыто,2022-05-26,,Опер #102,Гр. Петров 973,11
8cf4658b-e2b3-46c9-99a0-66fa59f09a5b,НПУ,296,Передано в суд,2020-07-18,,Опер #49,Гр. Петров 568,6
c7d960ee-c557-4552-9746-42bc6a7ee14d,СБУ,185,Закрыто,2024-11-02,,Опер #63,Гр. Мельник 608,3
ff5219b0-ef6d-4b5a-96a6-06a00b36c0e1,НПУ,289,Закрыто,2025-11-12,,Опер #24,Гр. Иванов 903,7
b22b8abc-e517-4924-ae74-2d2a32588c86,СБУ,185,Закрыто,2024-03-22,,Опер #169,Гр. Гончар 643,1
213dcf2d-4118-4b1d-88a2-f9472054f6fe,НПУ,289,Ожидание экспертизы,2024-07-29,2025-07-13,Опер #186,Гр. Коваленко 574,5
a28f1dfa-60c9-4a7b-b68a-b2df0301caa6,Прокуратура,289,В работе,2023-10-20,,Опер #130,Гр. Сидоренко 464,8
a15d3571-29f8-4a7b-99b9-b23a0a093bad,НПУ,187,Закрыто,2020-09-24,2020-11-10,Опер #183,Гр. Сидоренко 646,8
f6c1bf34-00ef-4344-893e-a5259ea0d417,НПУ,289,В работе,2023-05-25,2023-08-21,Опер #106,Гр. Коваленко 461,3
4d7f7326-3b91-41b9-87ad-0f67e0f78f3d,НПУ,121,Передано в суд,2022-03-31,,Опер #70,Гр. Мельник 769,4
a28d22a8-cfa5-4bf5-af94-d59e0d4b22ab,Прокуратура,194,На розыске,2020-09-28,2020-10-10,Опер #165,Гр. Петров 920,12
310aaaec-91dc-4ab9-9ba1-1e8bf69e665d,СБУ,289,Ожидание экспертизы,2020-05-30,2021-06-13,Опер #97,Гр. Петров 835,6
3828d321-bd55-4e79-8ed9-9ec2c0fda64c,Прокуратура,194,В работе,2023-06-02,,Опер #25,Гр. Сидоренко 106,10
785af34d-21fc-4d6f-8361-602e62666be8,Прокуратура,194,На розыске,2021-06-15,,Опер #184,Гр. Мельник 547,5
c5322da8-1e4c-45e3-8c51-a8445c9349ca,Прокуратура,121,Ожидание экспертизы,2025-08-06,,Опер #94,Гр. Иванов 411,0
abca5c7e-6949-4ae9-9d0c-3417e5e33b8c,НПУ,194,Передано в суд,2021-12-08,,Опер #70,Гр. Коваленко 422,5
4b21131b-02b2-4c02-9155-a8cfc062703f,Прокуратура,309,На розыске,2025-04-12,2025-10-17,Опер #41,Гр. Сидоренко 675,14
66f21d7c-fd7e-45e1-8842-e0e106f0e3ed,НПУ,187,Передано в суд,2024-04-22,,Опер #150,Гр. Иванов 310,2
b8deabeb-d095-4ba9-9ad5-239fe710bd36,СБУ,307,На розыске,2025-09-03,,Опер #92,Гр. Иванов 842,0
1a99f860-dfbf-4490-afcf-c54cb9360ccd,НПУ,307,На розыске,2020-09-26,2020-12-11,Опер #59,Гр. Коваленко 117,7
f5875250-298d-434b-86ea-a0355d1a1f69,СБУ,187,Передано в суд,2024-08-13,,Опер #170,Гр. Петров 706,10
ef500fa6-30e5-475e-a466-8ebad8e7b44e,СБУ,263,Ожидание экспертизы,2022-04-05,,Опер #172,Гр. Иванов 639,1
d2e10358-807d-4059-8a77-bdb477c131aa,СБУ,194,Передано в суд,2024-11-11,,Опер #94,Гр. Коваленко 536,12
d5366e65-98ec-4fcc-bde2-b1ae7c556298,НПУ,121,Закрыто,2023-07-13,,Опер #81,Гр. Коваленко 760,9
5ce20278-7545-40da-ae98-a516278cd520,СБУ,309,Ожидание экспертизы,2023-03-10,,Опер #149,Гр. Сидоренко 114,9
1897464c-8188-4f0f-b4e6-799ab8fbe5dc,НПУ,115,Закрыто,2023-04-18,,Опер #197,Гр. Иванов 151,2
ce0bf846-d64b-4841-9b53-cd2d6c26122a,НПУ,115,Ожидание экспертизы,2021-09-18,2022-04-20,Опер #40,Гр. Иванов 587,10
7baa4a2f-8ddc-4538-8161-fec69467909a,СБУ,263,На розыске,2020-01-27,2021-02-21,Опер #189,Гр. Коваленко 470,2
f4249757-44a9-4039-9900-dd9c06773824,Прокуратура,296,В работе,2025-10-13,,Опер #20,Гр. Коваленко 626,8
ea9b6254-fb15-4ac6-84e7-52a0d299398c,Прокуратура,115,Ожидание экспертизы,2025-09-06,,Опер #25,Гр. Иванов 747,6
e9530f06-f9ab-43c4-b4d0-97585c09f3e5,СБУ,115,В работе,2023-05-31,,Опер #58,Гр. Иванов 547,8
a2a54cc9-511b-4360-b4ce-07f9c117ce62,СБУ,296,Передано в суд,2022-02-14,2022-03-21,Опер #17,Гр. Петров 572,12
